"","wstatistic","pvalue","cohort"
"entorhinal.lh",0.905544927984113,0.0613569190422839,"CN"
"entorhinal.rh1",0.904359979531074,0.0803766363023544,"MCI"
"entorhinal.rh",0.923632295796939,0.13210100703695,"CN"
"entorhinal.lh1",0.945373828813451,0.38756707107844,"MCI"
