"","wstatistic","pvalue","cohort"
"entorhinal.rh",0.820494974276128,0.00137336965270409,"CN"
"entorhinal.lh",0.843064018220992,0.00323358564062759,"CN"
"entorhinal.rh1",0.90721154534905,0.0356942358636447,"MCI"
"entorhinal.lh1",0.926959527763315,0.0940243000065123,"MCI"
