"","wstatistic","pvalue","cohort"
"entorhinal.lh",0.954613223857671,0.00639023665648664,"CN"
"entorhinal.rh",0.960981010445405,0.0154407866723948,"CN"
"entorhinal.rh2",0.923724533258582,0.0182800058901267,"AD"
"entorhinal.rh1",0.97956582838458,0.0400836745015827,"MCI"
"entorhinal.lh1",0.980463294151324,0.0496294139614715,"MCI"
"entorhinal.lh2",0.978097754372846,0.69636899464166,"AD"
