"","wstatistic","pvalue","cohort"
"entorhinal.lh2",0.859513005462249,0.000381919554918077,"AD"
"entorhinal.rh2",0.859513005462249,0.000381919554918077,"AD"
"entorhinal.lh",0.968496472988037,0.0455319039355851,"CN"
"entorhinal.rh",0.968496472988037,0.0455319039355851,"CN"
"entorhinal.lh1",0.984898182783671,0.142768376148803,"MCI"
"entorhinal.rh1",0.984898182783671,0.142768376148803,"MCI"
